[rosmaster.main][INFO] 2019-11-24 21:47:42,622: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-24 21:47:42,623: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-24 21:47:42,624: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-11-24 21:47:42,624: Master initialized: port[11311], uri[http://vagrant:11311/]
[xmlrpc][INFO] 2019-11-24 21:47:42,624: Started XML-RPC server [http://vagrant:11311/]
[xmlrpc][INFO] 2019-11-24 21:47:42,625: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-24 21:47:42,714: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:47:42,716: +PARAM [/roslaunch/uris/host_vagrant__38335] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:47:42,762: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:47:42,764: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:47:43,107: +SERVICE [/rosout/get_loggers] /rosout http://vagrant:41071/
[rosmaster.master][INFO] 2019-11-24 21:47:43,108: +SERVICE [/rosout/set_logger_level] /rosout http://vagrant:41071/
[rosmaster.master][INFO] 2019-11-24 21:47:43,112: +PUB [/rosout_agg] /rosout http://vagrant:41071/
[rosmaster.master][INFO] 2019-11-24 21:47:43,114: +SUB [/rosout] /rosout http://vagrant:41071/
[rosmaster.master][INFO] 2019-11-24 21:51:47,330: -PUB [/rosout_agg] /rosout http://vagrant:41071/
[rosmaster.master][INFO] 2019-11-24 21:51:47,332: -SUB [/rosout] /rosout http://vagrant:41071/
[rosmaster.master][INFO] 2019-11-24 21:51:47,333: -SERVICE [/rosout/get_loggers] /rosout rosrpc://vagrant:34069
[rosmaster.master][INFO] 2019-11-24 21:51:47,334: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://vagrant:34069
[rosmaster.main][INFO] 2019-11-24 21:51:47,438: keyboard interrupt, will exit
[rosmaster.main][INFO] 2019-11-24 21:51:47,439: stopping master...
[rospy.core][INFO] 2019-11-24 21:51:47,440: signal_shutdown [atexit]
