[rosmaster.main][INFO] 2019-11-24 21:55:02,800: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-24 21:55:02,801: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-24 21:55:02,802: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-24 21:55:02,802: Started XML-RPC server [http://vagrant:11311/]
[rosmaster.master][INFO] 2019-11-24 21:55:02,802: Master initialized: port[11311], uri[http://vagrant:11311/]
[xmlrpc][INFO] 2019-11-24 21:55:02,803: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-24 21:55:02,811: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:55:02,813: +PARAM [/roslaunch/uris/host_vagrant__34021] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:55:02,843: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:55:02,847: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:55:02,871: +SERVICE [/rosout/get_loggers] /rosout http://vagrant:34821/
[rosmaster.master][INFO] 2019-11-24 21:55:02,873: +SERVICE [/rosout/set_logger_level] /rosout http://vagrant:34821/
[rosmaster.master][INFO] 2019-11-24 21:55:02,878: +PUB [/rosout_agg] /rosout http://vagrant:34821/
[rosmaster.master][INFO] 2019-11-24 21:55:02,880: +SUB [/rosout] /rosout http://vagrant:34821/
[rosmaster.master][INFO] 2019-11-24 22:06:49,262: -PUB [/rosout_agg] /rosout http://vagrant:34821/
[rosmaster.master][INFO] 2019-11-24 22:06:49,263: -SUB [/rosout] /rosout http://vagrant:34821/
[rosmaster.master][INFO] 2019-11-24 22:06:49,263: -SERVICE [/rosout/get_loggers] /rosout rosrpc://vagrant:55007
[rosmaster.master][INFO] 2019-11-24 22:06:49,264: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://vagrant:55007
[rosmaster.main][INFO] 2019-11-24 22:06:49,375: keyboard interrupt, will exit
[rosmaster.main][INFO] 2019-11-24 22:06:49,375: stopping master...
[rospy.core][INFO] 2019-11-24 22:06:49,376: signal_shutdown [atexit]
