[rosmaster.main][INFO] 2019-11-24 21:27:11,617: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-24 21:27:11,618: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-24 21:27:11,618: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-24 21:27:11,619: Started XML-RPC server [http://vagrant:11311/]
[rosmaster.master][INFO] 2019-11-24 21:27:11,619: Master initialized: port[11311], uri[http://vagrant:11311/]
[xmlrpc][INFO] 2019-11-24 21:27:11,620: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-24 21:27:11,722: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:27:11,724: +PARAM [/roslaunch/uris/host_vagrant__45407] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:27:11,785: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:27:11,787: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-24 21:27:11,880: +SERVICE [/rosout/get_loggers] /rosout http://vagrant:43771/
[rosmaster.master][INFO] 2019-11-24 21:27:11,881: +SERVICE [/rosout/set_logger_level] /rosout http://vagrant:43771/
[rosmaster.master][INFO] 2019-11-24 21:27:11,884: +PUB [/rosout_agg] /rosout http://vagrant:43771/
[rosmaster.master][INFO] 2019-11-24 21:27:11,885: +SUB [/rosout] /rosout http://vagrant:43771/
[rosmaster.master][INFO] 2019-11-24 21:43:37,273: -PUB [/rosout_agg] /rosout http://vagrant:43771/
[rosmaster.master][INFO] 2019-11-24 21:43:37,274: -SUB [/rosout] /rosout http://vagrant:43771/
[rosmaster.master][INFO] 2019-11-24 21:43:37,274: -SERVICE [/rosout/get_loggers] /rosout rosrpc://vagrant:46295
[rosmaster.master][INFO] 2019-11-24 21:43:37,275: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://vagrant:46295
[rosmaster.main][INFO] 2019-11-24 21:43:37,383: keyboard interrupt, will exit
[rosmaster.main][INFO] 2019-11-24 21:43:37,383: stopping master...
[rospy.core][INFO] 2019-11-24 21:43:37,384: signal_shutdown [atexit]
